service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JAN13-JANSA13-Saturday-03,0,0,0,0,0,1,0,20130105,20130420
JAN13-JANSU13-Sunday-03,0,0,0,0,0,0,1,20130106,20130414
JAN13-JANDA13-Weekday-10,1,1,1,1,1,0,0,20130107,20130419
FMDA13-FAMDA13-Weekday-01,1,1,1,1,1,0,0,20130218,20130218
MBWK13-MRBRK1-Weekday-01,1,1,1,1,1,0,0,20130311,20130315
EAMO13-EASMO13-Weekday-01,1,1,1,1,1,0,0,20130401,20130401
JAN13-201-Mon-Monday-02,1,0,0,0,0,0,0,20130107,20130415
JAN13-202-Tue-Tuesday-02,0,1,0,0,0,0,0,20130108,20130416
JAN13-203-Wed-Tuesday-02,0,1,0,0,0,0,0,20130109,20130417
JAN13-204-Thu-Tuesday-02,0,1,0,0,0,0,0,20130110,20130418
JAN13-205-Fri-Tuesday-02,0,1,0,0,0,0,0,20130111,20130419
