route_id,route_short_name,route_long_name,route_desc,route_type
1-140,1,,,3
2-140,2,,,3
4-140,4,,,3
5-140,5,,,3
6-140,6,,,3
7-140,7,,,3
8-140,8,,,3
9-140,9,,,3
12-140,12,,,3
14-140,14,,,3
16-140,16,,,3
18-140,18,,,3
20-140,20,,,3
21-140,21,,,3
22-140,22,,,3
24-140,24,,,3
27-140,27,,,3
30-140,30,,,3
31-140,31,,,3
34-140,34,,,3
35-140,35,,,3
37-140,37,,,3
38-140,38,,,3
40-140,40,,,3
41-140,41,,,3
43-140,43,,,3
60-140,60,,,3
61-140,61,,,3
62-140,62,,,3
65-140,65,,,3
66-140,66,,,3
67-140,67,,,3
68-140,68,,,3
69-140,69,,,3
70-140,70,,,3
71-140,71,,,3
73-140,73,,,3
76-140,76,,,3
77-140,77,,,3
85-140,85,,,3
86-140,86,,,3
87-140,87,,,3
93-140,93,,,3
94-140,94,,,3
95-140,95,,,3
96-140,96,,,3
97-140,97,,,3
98-140,98,,,3
99-140,99,,,3
101-140,101,,,3
102-140,102,,,3
105-140,105,,,3
106-140,106,,,3
111-140,111,,,3
112-140,112,,,3
114-140,114,,,3
116-140,116,,,3
118-140,118,,,3
120-140,120,,,3
121-140,121,,,3
122-140,122,,,3
123-140,123,,,3
124-140,124,,,3
126-140,126,,,3
127-140,127,,,3
128-140,128,,,3
129-140,129,,,3
130-140,130,,,3
131-140,131,,,3
132-140,132,,,3
134-140,134,,,3
135-140,135,,,3
136-140,136,,,3
137-140,137,,,3
140-140,140,,,3
143-140,143,,,3
144-140,144,,,3
146-140,146,,,3
147-140,147,,,3
148-140,148,,,3
149-140,149,,,3
150-140,150,,,3
151-140,151,,,3
152-140,152,,,3
153-140,153,,,3
156-140,156,,,3
157-140,157,,,3
159-140,159,,,3
161-140,161,,,3
164-140,164,,,3
168-140,168,,,3
170-140,170,,,3
171-140,171,,,3
172-140,172,,,3
173-140,173,,,3
174-140,174,,,3
175-140,175,,,3
176-140,176,,,3
177-140,177,,,3
178-140,178,,,3
180-140,180,,,3
181-140,181,,,3
182-140,182,,,3
186-140,186,,,3
189-140,189,,,3
192-140,192,,,3
193-140,193,,,3
194-140,194,,,3
199-140,199,,,3
201-136,201,,,3
202-136,202,,,3
203-136,203,,,3
204-136,204,,,3
205-136,205,,,3
221-140,221,,,3
231-140,231,,,3
232-140,232,,,3
261-140,261,,,3
262-140,262,,,3
263-140,263,,,3
283-140,283,,,3
602-140,602,,,3
611-140,611,,,3
612-140,612,,,3
613-140,613,,,3
618-140,618,,,3
619-140,619,,,3
622-140,622,,,3
632-140,632,,,3
633-140,633,,,3
640-140,640,,,3
641-140,641,,,3
648-140,648,,,3
661-140,661,,,3
665-140,665,,,3
669-140,669,,,3
670-140,670,,,3
674-140,674,,,3
678-140,678,,,3
681-140,681,,,3
691-140,691,,,3
750-140,OTrn,,,2
