route_id,service_id,trip_id,trip_headsign,block_id
1-140,EAMO13-EASMO13-Weekday-01,24988539-EAMO13-EASMO13-Weekday-01,"South Keys",3138663
1-140,EAMO13-EASMO13-Weekday-01,24988540-EAMO13-EASMO13-Weekday-01,"South Keys",3138356
1-140,EAMO13-EASMO13-Weekday-01,24988541-EAMO13-EASMO13-Weekday-01,"South Keys",3138758
1-140,EAMO13-EASMO13-Weekday-01,24988542-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138534
1-140,EAMO13-EASMO13-Weekday-01,24988543-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138356
1-140,EAMO13-EASMO13-Weekday-01,24988544-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138356
7-140,EAMO13-EASMO13-Weekday-01,24988545-EAMO13-EASMO13-Weekday-01,"St. Laurent",3138591
1-140,EAMO13-EASMO13-Weekday-01,24988546-EAMO13-EASMO13-Weekday-01,"South Keys",3138534
1-140,EAMO13-EASMO13-Weekday-01,24988547-EAMO13-EASMO13-Weekday-01,"South Keys",3138478
1-140,EAMO13-EASMO13-Weekday-01,24988548-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138663
1-140,EAMO13-EASMO13-Weekday-01,24988549-EAMO13-EASMO13-Weekday-01,"South Keys",3138194
1-140,EAMO13-EASMO13-Weekday-01,24988550-EAMO13-EASMO13-Weekday-01,"South Keys",3138663
1-140,EAMO13-EASMO13-Weekday-01,24988551-EAMO13-EASMO13-Weekday-01,"South Keys",3138483
1-140,EAMO13-EASMO13-Weekday-01,24988552-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138194
1-140,EAMO13-EASMO13-Weekday-01,24988553-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138663
1-140,EAMO13-EASMO13-Weekday-01,24988554-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138663
1-140,EAMO13-EASMO13-Weekday-01,24988555-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138758
1-140,EAMO13-EASMO13-Weekday-01,24988556-EAMO13-EASMO13-Weekday-01,"South Keys",3138166
1-140,EAMO13-EASMO13-Weekday-01,24988557-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138663
1-140,EAMO13-EASMO13-Weekday-01,24988558-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138534
1-140,EAMO13-EASMO13-Weekday-01,24988559-EAMO13-EASMO13-Weekday-01,"Ottawa-Rockcliffe",3138749
